"# PbTaSe2 flake BCAD, thickness 56 nm,roughness 4.7 nm."		 
#eV	#eps_1	#eps_2
1.110737879	-7.46126	11.245414
1.114356324	-7.326117	11.210236
1.117998422	-7.196554	11.157973
1.121664405	-7.035886	11.080033
1.125354509	-6.862969	10.961066
1.129068973	-6.730583	10.848843
1.132808039	-6.658706	10.739773
1.136571952	-6.600002	10.64491
1.140360961	-6.499755	10.623832
1.144175317	-6.283417	10.705391
1.148015276	-6.010787	10.833595
1.151881096	-5.759746	10.958072
1.15577304	-5.501568	11.111636
1.159691372	-5.272521	11.219302
1.163636364	-5.112993	11.236537
1.167608286	-4.990555	11.244181
1.171607417	-4.851052	11.246933
1.175634037	-4.647474	11.241144
1.179688429	-4.412119	11.228371
1.183770883	-4.210167	11.216034
1.187881691	-4.045601	11.201871
1.192021149	-3.89642	11.190002
1.196189557	-3.754361	11.18832
1.200387222	-3.622684	11.194037
1.204614451	-3.492625	11.204083
1.208871557	-3.355371	11.222347
1.21315886	-3.214214	11.259926
1.217476681	-3.069755	11.30505
1.221825348	-2.909043	11.347818
1.226205192	-2.744879	11.39866
1.230616549	-2.626666	11.479316
1.235059761	-2.560767	11.73708
1.239535174	-2.504114	12.030504
1.24404314	-2.407875	12.094703
1.248584015	-2.211124	12.011557
1.253158161	-2.045309	11.927677
1.257765944	-2.023219	11.979127
1.262407737	-2.021657	12.232357
1.267083919	-2.019226	12.455334
1.271794872	-1.947993	12.522021
1.276540986	-1.782964	12.561949
1.281322656	-1.670999	12.614615
1.286140283	-1.622521	12.698299
1.290994274	-1.5898	12.805416
1.31582438	-1.463864	13.190472
1.320905459	-1.391555	13.114188
1.326025932	-0.995753	12.639976
1.331186259	-0.775467	12.364526
1.336386906	-0.823388	12.39992
1.341628347	-0.793551	12.097488
1.346911066	-0.657921	11.998359
1.352235551	-0.495264	11.997555
1.357602299	-0.471917	12.096681
1.363011816	-0.361072	11.983114
1.368464616	-0.251264	11.904775
1.373961219	-0.20413	11.897908
1.379502155	-0.211147	11.964892
1.385087964	-0.226234	11.973443
1.390719192	-0.250567	11.977864
1.396396396	-0.281273	12.072698
1.402120141	-0.305836	12.190521
1.407891002	-0.366472	12.299538
1.413709562	-0.52155	12.411026
1.419576417	-0.769052	12.665559
1.425492168	-1.052855	12.744667
1.431457431	-1.390929	12.767521
1.43747283	-1.777795	12.775033
1.443538999	-2.015964	12.676617
1.449656583	-2.241099	12.532596
1.45582624	-2.458877	12.377028
1.462048637	-2.653541	12.209099
1.468324452	-2.65462	12.066322
1.474654378	-2.58692	11.949845
1.481039116	-2.401427	11.847952
1.487479382	-2.405534	11.678047
1.493975904	-2.362915	11.578149
1.500529421	-2.212938	11.498857
1.507140687	-1.992365	11.3723
1.513810468	-1.830699	11.288347
1.520539546	-1.758369	11.187302
1.527328714	-1.722431	11.059587
1.534178781	-1.597665	10.977581
1.54109057	-1.436835	10.836577
1.548064919	-1.254622	10.692101
1.555102681	-1.065416	10.606956
1.562204724	-0.889074	10.485842
1.569371935	-0.738488	10.369774
1.576605213	-0.601421	10.284705
1.583905477	-0.441684	10.246232
1.591273661	-0.293063	10.164367
1.598710717	-0.159909	10.087721
1.606217617	-0.035544	10.046613
1.613795347	0.166443	9.911657
1.621444917	0.344307	9.883299
1.629167351	0.484689	9.885977
1.636963696	0.606595	9.814745
1.644835019	0.642765	9.735328
1.652782406	0.689397	9.676304
1.660806965	0.802102	9.636629
1.668909825	0.947367	9.530407
1.677092139	1.059879	9.488231
1.68535508	1.158723	9.454347
1.693699846	1.276914	9.34808
1.70212766	1.421383	9.354112
1.710639765	1.560555	9.354194
1.719237435	1.68781	9.342162
1.727921965	1.827555	9.358953
1.736694678	1.975366	9.373643
1.745556924	2.123466	9.385977
1.754510081	2.263713	9.398995
1.763555556	2.388392	9.431248
1.772694782	2.526001	9.460357
1.781929226	2.656079	9.490532
1.791260383	2.726466	9.585576
1.80068978	2.835662	9.664634
1.810218978	2.958439	9.735811
1.819849569	3.072309	9.799459
1.82958318	3.227165	9.823503
1.839421472	3.314894	9.887995
1.849366145	3.372442	9.987457
1.859418932	3.444753	10.03915
1.869581606	3.54793	10.109259
1.879855979	3.634036	10.183443
1.890243902	3.693167	10.25902
1.90074727	3.764388	10.373669
1.911368015	3.835625	10.488925
1.922108119	3.896563	10.604362
1.932969602	3.941164	10.726022
1.943954537	4.015642	10.823622
1.955065037	4.039733	10.946194
1.966303271	4.04249	11.09076
1.977671451	4.079108	11.178115
1.989171847	4.101807	11.275676
2.000806777	4.116034	11.387366
2.012578616	4.126375	11.513032
