730.0	0.601772
724.7	0.541164
719.5	0.421077
714.4	0.198226
709.3	0.005962
704.3	0.329861
699.4	0.833241
694.5	1.116982
689.7	1.274948
685.0	1.391123
680.3	1.501974
675.7	1.622723
671.2	1.754760
666.7	1.893447
662.3	2.041639
658.0	2.207522
653.7	2.389245
649.4	2.568952
645.2	2.724898
641.1	2.846085
637.0	2.932367
633.0	2.990151
629.0	3.062023
625.1	3.312710
621.2	3.127499
617.3	2.715154
613.5	2.445486
609.8	2.227980
606.1	2.077955
602.5	1.928377
598.9	1.734534
595.3	1.596739
591.8	1.472380
588.3	1.360094
584.8	1.258197
581.4	1.165634
578.1	1.082001
574.8	1.007325
571.5	0.941855
568.2	0.887478
565.0	0.840017
561.8	0.797590
