730.0	1.091190
724.7	1.137835
719.5	1.184831
714.4	1.234626
709.3	1.288733
704.3	1.348113
699.4	1.413397
694.5	1.485224
689.7	1.564575
685.0	1.652779
680.3	1.751247
675.7	1.861124
671.2	1.982954
666.7	2.116219
662.3	2.258672
658.0	2.405429
653.7	2.547955
649.4	2.673356
645.2	2.764768
641.1	2.803725
637.0	2.774703
633.0	2.670172
629.0	2.492562
625.1	2.249638
621.2	1.943288
617.3	1.565002
613.5	1.151666
609.8	0.855987
606.1	0.731445
602.5	0.680768
598.9	0.712679
595.3	0.678959
591.8	0.628001
588.3	0.582162
584.8	0.545391
581.4	0.518283
578.1	0.500270
574.8	0.490224
571.5	0.486899
568.2	0.489903
565.0	0.503046
561.8	0.544834
